        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       1                     -0.15566933
                   1.002                     -0.15101503
               1.0039999                      -0.1460673
                   1.006                     -0.14085568
                   1.008                     -0.13540975
                    1.01                     -0.12976007
                   1.012                     -0.12393726
               1.0140001                     -0.11797279
                   1.016                     -0.11189757
                   1.018                     -0.10574297
                    1.02                     -0.09953898
                   1.022                    -0.093316486
                   1.024                    -0.087104605
                   1.026                    -0.080933313
                   1.028                    -0.074829971
                    1.03                    -0.068823098
               1.0319999                    -0.062938632
                   1.034                    -0.057202486
                   1.036                    -0.051639214
                   1.038                    -0.046270196
                    1.04                    -0.041118154
               1.0420001                    -0.036203772
                   1.044                    -0.031545737
                   1.046                    -0.027160859
                   1.048                    -0.023064402
                    1.05                    -0.019271862
                   1.052                    -0.015795185
                   1.054                    -0.012645958
                   1.056                   -0.0098328483
                   1.058                   -0.0073640725
               1.0599999                   -0.0052444926
                   1.062                   -0.0034811662
                   1.064                   -0.0020724481
                   1.066                    -0.001025346
                   1.068                  -0.00033396385
               1.0700001                  -2.0929077e-07
                   1.072                  -1.9400716e-05
                   1.074                  -0.00038516247
                   1.076                   -0.0010935407
               1.0779999                   -0.0021342451
                    1.08                   -0.0035000283
                   1.082                   -0.0051809476
                   1.084                   -0.0071622989
                   1.086                   -0.0094331382
               1.0880001                    -0.011980781
                    1.09                    -0.014787782
                   1.092                    -0.017839546
                   1.094                    -0.021118537
                   1.096                      -0.0246081
                   1.098                    -0.028288928
                     1.1                    -0.032142674
                   1.102                    -0.036149536
                   1.104                    -0.040288822
               1.1059999                     -0.04454086
                   1.108                    -0.048885984
                    1.11                    -0.053302352
                   1.112                    -0.057767633
                   1.114                    -0.062263812
               1.1160001                    -0.066767145
                   1.118                    -0.071260158
                    1.12                    -0.075719736
                   1.122                    -0.080127094
                   1.124                    -0.084463024
                   1.126                    -0.088708201
                   1.128                    -0.092843823
                    1.13                    -0.096852589
                   1.132                     -0.10071838
               1.1339999                     -0.10442554
                   1.136                     -0.10795651
                   1.138                     -0.11130018
                    1.14                     -0.11444167
                   1.142                     -0.11737031
               1.1440001                     -0.12007357
                   1.146                     -0.12254381
                   1.148                     -0.12477256
                    1.15                     -0.12675281
                   1.152                     -0.12847697
                   1.154                     -0.12994192
                   1.156                     -0.13114502
                   1.158                     -0.13208355
                    1.16                     -0.13275634
               1.1619999                     -0.13316573
                   1.164                     -0.13331218
                   1.166                     -0.13319958
                   1.168                     -0.13283209
                    1.17                     -0.13221501
               1.1720001                     -0.13135605
                   1.174                     -0.13026159
                   1.176                     -0.12894021
                   1.178                     -0.12740343
               1.1799999                     -0.12566056
                   1.182                      -0.1237226
                   1.184                     -0.12160327
                   1.186                       -0.119314
                   1.188                     -0.11686936
               1.1900001                      -0.1142827
                   1.192                     -0.11156963
                   1.194                     -0.10874395
                   1.196                     -0.10582106
                   1.198                     -0.10281694
                     1.2                    -0.099747319
                   1.202                    -0.096626413
                   1.204                    -0.093472605
                   1.206                    -0.090300296
               1.2079999                    -0.087124136
                    1.21                    -0.083961385
                   1.212                    -0.080824936
                   1.214                    -0.077730829
                   1.216                    -0.074693665
               1.2180001                     -0.07172666
                    1.22                    -0.068843633
                   1.222                    -0.066056516
                   1.224                    -0.063378533
                   1.226                    -0.060820517
                   1.228                    -0.058394152
                    1.23                    -0.056108753
                   1.232                    -0.053973398
                   1.234                     -0.05199784
               1.2359999                    -0.050189274
                   1.238                    -0.048553872
                    1.24                    -0.047097624
                   1.242                    -0.045826468
                   1.244                    -0.044744308
               1.2460001                    -0.043855594
                   1.248                    -0.043160295
                    1.25                    -0.042661672
                   1.252                    -0.042359834
               1.2539999                    -0.042254687
                   1.256                    -0.042345607
                   1.258                    -0.042629467
                    1.26                    -0.043104649
                   1.262                    -0.043767121
               1.2640001                      -0.0446115
                   1.266                    -0.045634547
                   1.268                    -0.046828498
                    1.27                    -0.048187732
                   1.272                    -0.049704623
                   1.274                    -0.051369981
                   1.276                    -0.053177976
                   1.278                    -0.055118133
                    1.28                     -0.05717974
               1.2819999                    -0.059354062
                   1.284                    -0.061629893
                   1.286                    -0.063997654
                   1.288                    -0.066445841
                    1.29                    -0.068961494
               1.2920001                     -0.07153445
                   1.294                    -0.074152221
                   1.296                    -0.076803427
                   1.298                    -0.079476127
                     1.3                    -0.082157945
                   1.302                     -0.08483826
                   1.304                    -0.087502965
